,Budget Type,Department,Economic Function,Ministry,Non-wage,Non-wage Est,Output,Programme,Sector,Total,Total Est,Vote,Wage,Wage Est
10327,,,212101  Social Security Contributions (NSSF),,0,0,,,,"9,600","9,600",,"9,600","9,600"
10328,,,213004  Gratuity Payments,,0,0,,,,"24,000","24,000",,"24,000","24,000"
10329,,,221002  Workshops and Seminars,,"274,000","174,000",,,,"274,000","174,000",,0,0
10330,,,221003  Staff Training,,"74,000","57,000",,,,"180,808","163,804",,"106,808","106,804"
10331,,,"221007  Books, Periodicals and Newspapers",,0,0,,,,"7,500","7,500",,"7,500","7,500"
10332,,,221008  Computer Supplies and IT Services,,0,0,,,,"10,000","10,000",,"10,000","10,000"
10333,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"11,300","11,500",,"11,300","11,500"
10334,,,225001  Consultancy Services- Short-term,,"370,000","4,639,100",,,,"370,000","4,639,100",,0,0
10335,,,227001  Travel Inland,,0,0,,,,"12,000","12,000",,"12,000","12,000"
10336,,,227002  Travel Abroad,,"25,000","25,000",,,,"32,000","32,000",,"7,000","7,000"
10337,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"8,158","8,158",,"8,158","8,158"
10338,,,228002  Maintenance - Vehicles,,0,0,,,,"1,017","5,000",,"1,017","5,000"
10339,,,,,,,Output:030304 Monitoring Upstream petroleum activities,,,,,,,
10340,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,0,0,,,,"192,000","295,226",,"192,000","295,226"
10341,,,211103  Allowances,,0,0,,,,"1,000","17,000",,"1,000","17,000"
10342,,,212101  Social Security Contributions (NSSF),,0,0,,,,"19,200","19,200",,"19,200","19,200"
10343,,,213004  Gratuity Payments,,0,0,,,,"48,000","48,000",,"48,000","48,000"
10344,,,221002  Workshops and Seminars,,"450,000","150,000",,,,"450,000","150,000",,0,0
10345,,,221003  Staff Training,,"206,800",0,,,,"213,800","567,000",,"7,000","567,000"
10346,,,225001  Consultancy Services- Short-term,,"422,000","200,700",,,,"422,000","200,700",,0,0
10347,,,227001  Travel Inland,,0,0,,,,"220,000","220,000",,"220,000","220,000"
10348,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"57,000","50,000",,"57,000","50,000"
10349,,,228002  Maintenance - Vehicles,,0,0,,,,"7,000","13,574",,"7,000","13,574"
10350,,,,,,,Output:030305 Develop and implement a communication strategy for oil & gas in the country,,,,,,,
10351,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,0,0,,,,"120,000","126,525",,"120,000","126,525"
10352,,,211103  Allowances,,0,0,,,,"1,500","5,500",,"1,500","5,500"
10353,,,,,,,,,,,,Vote:017,,
10354,,,,Ministry of Energy and Mineral Development,,,,,,,,,,
10355,,"Vote Function 0303 Petroleum Exploration, Development & Production",,,,,,,,,,,,
10356,,,,,,,,Project  1142 Management of the Oil and Gas Sector in Uganda,,,,,,
10357,,,213004  Gratuity Payments,,0,0,,,,"30,000","30,000",,"30,000","30,000"
10358,,,221001  Advertising and Public Relations,,"48,000",0,,,,"59,000","31,000",,"11,000","31,000"
10359,,,221002  Workshops and Seminars,,"314,000","300,000",,,,"322,500","310,000",,"8,500","10,000"
10360,,,221003  Staff Training,,"35,000","35,000",,,,"41,000","74,000",,"6,000","39,000"
10361,,,"221007  Books, Periodicals and Newspapers",,0,0,,,,"4,500","4,500",,"4,500","4,500"
10362,,,221008  Computer Supplies and IT Services,,0,0,,,,"6,500","26,475",,"6,500","26,475"
10363,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"8,800","18,800",,"8,800","18,800"
10364,,,222001  Telecommunications,,0,0,,,,"1,200","1,200",,"1,200","1,200"
10365,,,225001  Consultancy Services- Short-term,,"230,000",0,,,,"230,000",0,,0,0
10366,,,227001  Travel Inland,,0,0,,,,"20,000","120,000",,"20,000","120,000"
10367,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"12,000","15,000",,"12,000","15,000"
10368,,,228002  Maintenance - Vehicles,,0,0,,,,"3,000","5,000",,"3,000","5,000"
10369,,,,,,,Output:030306 Participate in Regional Initiatives,,,,,,,
10370,,,221002  Workshops and Seminars,,"40,000","37,000",,,,"40,000","37,000",,0,0
10371,,,"221005  Hire of Venue (chairs, projector etc)",,"11,000",0,,,,"11,000","10,000",,0,"10,000"
10372,,,"221011  Printing, Stationery, Photocopying and ",,"30,000",0,,,,"30,000","13,000",,0,"13,000"
10373,,,221017  Subscriptions,,0,0,,,,"60,000","20,000",,"60,000","20,000"
10374,,,227002  Travel Abroad,,"32,000",0,,,,"122,000","212,440",,"90,000","212,440"
10375,,,,,,,Output:030351 Transfer for Petroleum Refining (Midstream Unit),,,,,,,
10376,,,263204  Transfers to other gov't units(capital),,"264,000",0,,,,"3,264,000","2,000,000",,"3,000,000","2,000,000"
10377,,,,,,,Output:030372 Government Buildings and Administrative Infrastructure,,,,,,,
10378,,,231001  Non-Residential Buildings,,0,0,,,,"6,000,000","6,500,000",,"6,000,000","6,500,000"
10379,,,231007  Other Structures,,0,0,,,,"160,000","160,000",,"160,000","160,000"
10380,,,"281504  Monitoring, Supervision and Appraisal ",,0,0,,,,"240,000","240,000",,"240,000","240,000"
10381,,,,,,,"Output:030376 Purchase of Office and ICT Equipment, including  Software",,,,,,,
10382,,,231005  Machinery and Equipment,,0,"500,000",,,,"150,000","1,421,000",,"150,000","921,000"
10383,,,,,,,Output:030377 Purchase of Specialised Machinery & Equipment,,,,,,,
10384,,,231005  Machinery and Equipment,,"100,000",0,,,,"486,000","586,000",,"386,000","586,000"
10385,,,,,,,Output:030378 Purchase of Office and Residential Furniture and Fittings,,,,,,,
10386,,,231006  Furniture and Fixtures,,0,0,,,,"25,000","275,000",,"25,000","275,000"
10387,,,,,,,,,Energy and Mineral Development Sector ,,,,,
10388,,,,,,,,,,,,Vote:017,,
10389,,,,Ministry of Energy and Mineral Development,,,,,,,,,,
10390,,"Vote Function 0303 Petroleum Exploration, Development & Production",,,,,,,,,,,,
10391,,,,,,,,Project  1184 Construction of Oil Refinery,,,,,,
10392,,,,,,,Output:030301 Promotion of the country's petroleum potential and licensing,,,,,,,
10393,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,0,0,,,,"144,000","309,807",,"144,000","309,807"
10394,,,211103  Allowances,,0,0,,,,"264,000",0,,"264,000",0
10395,,,212101  Social Security Contributions (NSSF),,0,0,,,,"14,400","17,500",,"14,400","17,500"
10396,,,213004  Gratuity Payments,,0,0,,,,"21,600","26,000",,"21,600","26,000"
10397,,,221001  Advertising and Public Relations,,0,0,,,,"68,000","20,000",,"68,000","20,000"
10398,,,221002  Workshops and Seminars,,0,0,,,,"25,000","12,000",,"25,000","12,000"
10399,,,221003  Staff Training,,0,0,,,,"15,700","190,693",,"15,700","190,693"
10400,,,"221007  Books, Periodicals and Newspapers",,0,0,,,,"16,000","16,000",,"16,000","16,000"
10401,,,221008  Computer Supplies and IT Services,,0,0,,,,"12,500","30,000",,"12,500","30,000"
10402,,,221009  Welfare and Entertainment,,0,0,,,,"6,000","11,000",,"6,000","11,000"
10403,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"36,100","50,000",,"36,100","50,000"
10404,,,221012  Small Office Equipment,,0,0,,,,"15,000","20,000",,"15,000","20,000"
10405,,,221017  Subscriptions,,0,0,,,,"20,800","20,000",,"20,800","20,000"
10406,,,222001  Telecommunications,,0,0,,,,"5,000","10,000",,"5,000","10,000"
10407,,,222002  Postage and Courier,,0,0,,,,"1,000","10,000",,"1,000","10,000"
10408,,,223004  Guard and Security services,,0,0,,,,"3,000",0,,"3,000",0
10409,,,223005  Electricity,,0,0,,,,"25,000","15,000",,"25,000","15,000"
10410,,,223006  Water,,0,0,,,,"10,000","10,000",,"10,000","10,000"
10411,,,227001  Travel Inland,,0,0,,,,"11,000","24,000",,"11,000","24,000"
10412,,,227002  Travel Abroad,,0,0,,,,"65,900","19,780",,"65,900","19,780"
10413,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"12,000","50,000",,"12,000","50,000"
10414,,,228002  Maintenance - Vehicles,,0,0,,,,"8,000","100,000",,"8,000","100,000"
10415,,,,,,,Output:030303 Capacity Building for the oil & gas sector,,,,,,,
10416,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,0,0,,,,"144,000","190,651",,"144,000","190,651"
10417,,,211103  Allowances,,0,0,,,,"264,000",0,,"264,000",0
10418,,,212101  Social Security Contributions (NSSF),,0,0,,,,"14,400","17,500",,"14,400","17,500"
10419,,,213004  Gratuity Payments,,0,0,,,,"21,600","26,000",,"21,600","26,000"
10420,,,221001  Advertising and Public Relations,,0,0,,,,"9,370","20,000",,"9,370","20,000"
10421,,,221002  Workshops and Seminars,,0,0,,,,"20,000","25,000",,"20,000","25,000"
10422,,,221003  Staff Training,,0,0,,,,"530,030","547,849",,"530,030","547,849"
10423,,,"221005  Hire of Venue (chairs, projector etc)",,0,0,,,,"7,000","10,000",,"7,000","10,000"
10424,,,"221007  Books, Periodicals and Newspapers",,0,0,,,,"9,000","1,280",,"9,000","1,280"
10425,,,221008  Computer Supplies and IT Services,,0,0,,,,"20,000","48,000",,"20,000","48,000"
10426,,,221009  Welfare and Entertainment,,0,0,,,,"15,000","11,000",,"15,000","11,000"
10427,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"50,000","22,000",,"50,000","22,000"
10428,,,221012  Small Office Equipment,,0,0,,,,"15,800","20,000",,"15,800","20,000"
10429,,,222001  Telecommunications,,0,0,,,,"10,000","5,000",,"10,000","5,000"
10430,,,222002  Postage and Courier,,0,0,,,,"9,800",0,,"9,800",0
10431,,,223004  Guard and Security services,,0,0,,,,"3,000",0,,"3,000",0
10432,,,223005  Electricity,,0,0,,,,"30,000","15,000",,"30,000","15,000"
10433,,,223006  Water,,0,0,,,,"20,000","10,000",,"20,000","10,000"
10434,,,224002  General Supply of Goods and Services,,0,0,,,,"20,000",0,,"20,000",0
10435,,,,,,,,,,,,Vote:017,,
10436,,,,Ministry of Energy and Mineral Development,,,,,,,,,,
10437,,"Vote Function 0303 Petroleum Exploration, Development & Production",,,,,,,,,,,,
10438,,,,,,,,Project  1184 Construction of Oil Refinery,,,,,,
10439,,,227001  Travel Inland,,0,0,,,,"24,000","24,000",,"24,000","24,000"
10440,,,227002  Travel Abroad,,0,0,,,,"80,000","20,000",,"80,000","20,000"
10441,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"12,000","30,000",,"12,000","30,000"
10442,,,228002  Maintenance - Vehicles,,0,0,,,,"26,000","100,000",,"26,000","100,000"
10443,,,"228003  Maintenance Machinery, Equipment an",,0,0,,,,"25,000","20,000",,"25,000","20,000"
10444,,,,,,,Output:030380 Oil Refinery Construction,,,,,,,
10445,,,231001  Non-Residential Buildings,,0,0,,,,"25,000",0,,"25,000",0
10446,,,231005  Machinery and Equipment,,0,0,,,,"600,000",0,,"600,000",0
10447,,,231006  Furniture and Fixtures,,0,0,,,,"20,000",0,,"20,000",0
10448,,,281501  Environmental Impact Assessments for ,,0,0,,,,"2,000,000",0,,"2,000,000",0
10449,,,281502  Feasibility Studies for capital works,,0,0,,,,"1,572,000",0,,"1,572,000",0
10450,,,281503  Engineering and Design Studies and Pl,,0,"6,389,900",,,,"6,000,000","6,389,900",,"6,000,000",0
10451,,,"281504  Monitoring, Supervision and Appraisal ",,0,0,,,,"223,000",0,,"223,000",0
10452,,,311101  Land,,0,0,,,,"2,000,000","32,695,500",,"2,000,000","32,695,500"
10453,,,,,,,,,,,Total,,,
10454,,,,,,,,,,"33,299,857",,,,
10455,,,,,,,,,,"33,299,857",,,,
10456,,"Vote Function 0304 Petroleum Supply, Infrastructure and Regulation",,,,,,,,,,,,
10457,Recurrent Budget Estimates,,,,,,,,,,,,,
10458,,,,,,,,Programme  07 Petroleum Supply Department,,,,,,
10459,,,,,,,"Output:030401 Petroleum Policy Development, Regulation and Monitoring",,,,,,,
10460,,,211101  General Staff Salaries,,0,0,,,,"41,051","41,051",,"41,051","41,051"
10461,,,211103  Allowances,,"8,975","14,000",,,,"8,975","14,000",,0,0
10462,,,"213002  Incapacity, death benefits and funeral e",,"1,000","5,000",,,,"1,000","5,000",,0,0
10463,,,221001  Advertising and Public Relations,,"5,000","10,000",,,,"5,000","10,000",,0,0
10464,,,221002  Workshops and Seminars,,"16,000","16,000",,,,"16,000","16,000",,0,0
10465,,,221003  Staff Training,,"69,053","70,000",,,,"69,053","70,000",,0,0
10466,,,221006  Commissions and Related Charges,,"48,000","48,000",,,,"48,000","48,000",,0,0
10467,,,"221007  Books, Periodicals and Newspapers",,"1,000","1,000",,,,"1,000","1,000",,0,0
10468,,,221008  Computer Supplies and IT Services,,"7,000","7,000",,,,"7,000","7,000",,0,0
10469,,,221009  Welfare and Entertainment,,"3,000","3,000",,,,"3,000","3,000",,0,0
10470,,,"221011  Printing, Stationery, Photocopying and ",,"7,000","7,000",,,,"7,000","7,000",,0,0
10471,,,221012  Small Office Equipment,,"9,000","9,000",,,,"9,000","9,000",,0,0
10472,,,222001  Telecommunications,,"4,000","4,000",,,,"4,000","4,000",,0,0
10473,,,222002  Postage and Courier,,"2,000","2,000",,,,"2,000","2,000",,0,0
10474,,,224002  General Supply of Goods and Services,,"4,000",0,,,,"4,000",0,,0,0
10475,,,227001  Travel Inland,,"8,000","12,000",,,,"8,000","12,000",,0,0
10476,,,227002  Travel Abroad,,"35,000","55,646",,,,"35,000","55,646",,0,0
10477,,,"227004  Fuel, Lubricants and Oils",,"14,000","45,000",,,,"14,000","45,000",,0,0
10478,,,228002  Maintenance - Vehicles,,"4,000","8,763",,,,"4,000","8,763",,0,0
10479,,,,,,,Output:030402 Management and  Monitoring of petroleum supply Industry,,,,,,,
10480,,,,,,,,,,,,Vote:017,,
10481,,,,Ministry of Energy and Mineral Development,,,,,,,,,,
10482,,"Vote Function 0304 Petroleum Supply, Infrastructure and Regulation",,,,,,,,,,,,
10483,,,,,,,,Programme  07 Petroleum Supply Department,,,,,,
10484,,,211103  Allowances,,"10,000","4,000",,,,"10,000","4,000",,0,0
10485,,,"221007  Books, Periodicals and Newspapers",,"1,000","1,000",,,,"1,000","1,000",,0,0
10486,,,221008  Computer Supplies and IT Services,,"15,000","6,000",,,,"15,000","6,000",,0,0
10487,,,221009  Welfare and Entertainment,,"8,000","4,000",,,,"8,000","4,000",,0,0
10488,,,"221011  Printing, Stationery, Photocopying and ",,"5,000","5,000",,,,"5,000","5,000",,0,0
10489,,,221012  Small Office Equipment,,"3,000","1,000",,,,"3,000","1,000",,0,0
10490,,,222001  Telecommunications,,"6,000","4,000",,,,"6,000","4,000",,0,0
10491,,,223005  Electricity,,"15,000",0,,,,"15,000",0,,0,0
10492,,,223006  Water,,"2,000",0,,,,"2,000",0,,0,0
10493,,,224002  General Supply of Goods and Services,,"25,000",0,,,,"25,000",0,,0,0
10494,,,227001  Travel Inland,,"165,000","170,000",,,,"165,000","170,000",,0,0
10495,,,"227004  Fuel, Lubricants and Oils",,"18,000","30,000",,,,"18,000","30,000",,0,0
10496,,,228002  Maintenance - Vehicles,,"6,000","6,000",,,,"6,000","6,000",,0,0
10497,,,,,,,Output:030403 Maintainance of National Petroleum Information System,,,,,,,
10498,,,211101  General Staff Salaries,,0,0,,,,"27,032","27,032",,"27,032","27,032"
10499,,,211103  Allowances,,"15,000","4,000",,,,"15,000","4,000",,0,0
10500,,,"221007  Books, Periodicals and Newspapers",,"1,000","1,000",,,,"1,000","1,000",,0,0
10501,,,221008  Computer Supplies and IT Services,,"6,000","10,000",,,,"6,000","10,000",,0,0
10502,,,221009  Welfare and Entertainment,,"10,000","5,000",,,,"10,000","5,000",,0,0
10503,,,"221011  Printing, Stationery, Photocopying and ",,"4,000","5,000",,,,"4,000","5,000",,0,0
10504,,,222001  Telecommunications,,"2,000","2,000",,,,"2,000","2,000",,0,0
10505,,,224002  General Supply of Goods and Services,,"2,000",0,,,,"2,000",0,,0,0
10506,,,227001  Travel Inland,,"40,000","40,000",,,,"40,000","40,000",,0,0
10507,,,"227004  Fuel, Lubricants and Oils",,"12,000","20,000",,,,"12,000","20,000",,0,0
10508,,,228002  Maintenance - Vehicles,,"4,000","5,000",,,,"4,000","5,000",,0,0
10509,,,,,,,Output:030404 Operational Standards and laboratory testing of petroleum products,,,,,,,
10510,,,211101  General Staff Salaries,,0,0,,,,"123,389","123,389",,"123,389","123,389"
10511,,,211103  Allowances,,"15,000","10,151",,,,"15,000","10,151",,0,0
10512,,,"221007  Books, Periodicals and Newspapers",,"2,000","1,000",,,,"2,000","1,000",,0,0
10513,,,221008  Computer Supplies and IT Services,,"8,000","4,000",,,,"8,000","4,000",,0,0
10514,,,221009  Welfare and Entertainment,,"8,000","6,000",,,,"8,000","6,000",,0,0
10515,,,"221011  Printing, Stationery, Photocopying and ",,"5,000","3,000",,,,"5,000","3,000",,0,0
10516,,,222001  Telecommunications,,"4,000","4,000",,,,"4,000","4,000",,0,0
10517,,,224002  General Supply of Goods and Services,,"3,000",0,,,,"3,000",0,,0,0
10518,,,227001  Travel Inland,,"136,000","120,100",,,,"136,000","120,100",,0,0
10519,,,"227004  Fuel, Lubricants and Oils",,"30,000","56,000",,,,"30,000","56,000",,0,0
10520,,,228002  Maintenance - Vehicles,,"12,000","5,000",,,,"12,000","5,000",,0,0
10521,,,,,,,Output:030405 Development of Petroleum Refinery and Processing,,,,,,,
10522,,,211101  General Staff Salaries,,0,0,,,,"12,198","12,198",,"12,198","12,198"
10523,,,211103  Allowances,,"1,000",0,,,,"1,000",0,,0,0
10524,,,,,,,Output:030406 Kenya - Uganda  - Rwanda Oil pipelines,,,,,,,
10525,,,211101  General Staff Salaries,,0,0,,,,"12,198","12,198",,"12,198","12,198"
10526,,,211103  Allowances,,"2,986","1,000",,,,"2,986","1,000",,0,0
10527,,,"221007  Books, Periodicals and Newspapers",,"1,000",0,,,,"1,000",0,,0,0
10528,,,221008  Computer Supplies and IT Services,,"1,000",0,,,,"1,000",0,,0,0
10529,,,221009  Welfare and Entertainment,,"3,000",0,,,,"3,000",0,,0,0
10530,,,"221011  Printing, Stationery, Photocopying and ",,"3,000",0,,,,"3,000",0,,0,0
10531,,,222001  Telecommunications,,"4,000",0,,,,"4,000",0,,0,0
10532,,,227001  Travel Inland,,"22,000","25,000",,,,"22,000","25,000",,0,0
10533,,,,,,,,,,,,Vote:017,,
10534,,,,Ministry of Energy and Mineral Development,,,,,,,,,,
10535,,"Vote Function 0304 Petroleum Supply, Infrastructure and Regulation",,,,,,,,,,,,
10536,,,,,,,,Programme  07 Petroleum Supply Department,,,,,,
10537,Development Budget Estimates,,,,,,,,,,,,,
10538,,,,,,,,Project  1258 Downstream Petroleum Infrastructure,,,,,,
10539,,,,,,,Output:030471 Acquisition of Land by Government,,,,,,,
10540,,,,,,,,,,,"1,900,000",,,
10541,,,,,,,"Output:030476 Purchase of Office and ICT Equipment, including  Software",,,,,,,
10542,,,,,,,,,,,"700,000",,,
10543,,,,,,,Output:030477 Purchase of Specialised Machinery & Equipment,,,,,,,
10544,,,,,,,,,,,"1,120,000",,,
10545,,,,,,,Output:030479 Acquisition of Other Capital Assets,,,,,,,
10546,,,,,,,,,,,"1,280,000",,,
10547,,,,,,,,,,,"5,000,000",,,
10548,,,,,,,,,,,"5,000,000",,,
10549,,,,,,,,,,,"5,000,000",,,
10550,,,,,,,,,,,Total,,,
10551,,,,,,,,,,"1,236,777",,,,
10552,,,,,,,,,,"1,236,777",,,,
10553,,"Vote Function 0305 Mineral Exploration, Development & Production",,,,,,,,,,,,
10554,Recurrent Budget Estimates,,,,,,,,,,,,,
10555,,,,,,,,Programme  05 Geological Survey and Mines Department,,,,,,
10556,,,,,,,Output:030501 Policy Formulation Regulation,,,,,,,
10557,,,211101  General Staff Salaries,,0,0,,,,"676,694","676,694",,"676,694","676,694"
10558,,,211103  Allowances,,"12,240","2,000",,,,"12,240","2,000",,0,0
10559,,,221002  Workshops and Seminars,,"20,000","8,000",,,,"20,000","8,000",,0,0
10560,,,"221005  Hire of Venue (chairs, projector etc)",,"2,400",0,,,,"2,400",0,,0,0
10561,,,"221011  Printing, Stationery, Photocopying and ",,"12,000","6,000",,,,"12,000","6,000",,0,0
10562,,,222003  Information and Communications Tech,,0,"4,000",,,Energy and Mineral Development Sector ,,"4,000",,0,0
10563,,,,,,,,,,,,Vote:017,,
10564,,,,Ministry of Energy and Mineral Development,,,,,,,,,,
10565,,"Vote Function 0305 Mineral Exploration, Development & Production",,,,,,,,,,,,
10566,,,,,,,,Programme  05 Geological Survey and Mines Department,,,,,,
10567,,,223001  Property Expenses,,"59,600",0,,,,"59,600",0,,0,0
10568,,,223005  Electricity,,"36,000","1,000",,,,"36,000","1,000",,0,0
10569,,,223006  Water,,"12,000","1,000",,,,"12,000","1,000",,0,0
10570,,,224002  General Supply of Goods and Services,,"2,000",0,,,,"2,000",0,,0,0
10571,,,"227004  Fuel, Lubricants and Oils",,"2,000","8,000",,,,"2,000","8,000",,0,0
10572,,,228002  Maintenance - Vehicles,,"2,000","6,000",,,,"2,000","6,000",,0,0
10573,,,,,,,Output:030502 Institutional  capacity for the mineral sector,,,,,,,
10574,,,211103  Allowances,,"8,400","5,000",,,,"8,400","5,000",,0,0
10575,,,221001  Advertising and Public Relations,,"4,000",0,,,,"4,000",0,,0,0
10576,,,221002  Workshops and Seminars,,"8,000","8,000",,,,"8,000","8,000",,0,0
10577,,,221003  Staff Training,,"4,000","6,000",,,,"4,000","6,000",,0,0
10578,,,"221007  Books, Periodicals and Newspapers",,"4,000",0,,,,"4,000",0,,0,0
10579,,,"221011  Printing, Stationery, Photocopying and ",,"6,000","2,400",,,,"6,000","2,400",,0,0
